Código,Disciplina
CGBEST/CCN013,PROBABILIDADE E ESTATÍSTICA
CLE/CCHL002,INGLÊS TÉCNICO E CIENTÍFICO
DC/CCN019,INTRODUÇÃO À LÓGICA
DC/CCN020,SEMINÁRIOS DE INTRODUÇÃO AO CURSO
DC/CCN021,INFORMÁTICA E SOCIEDADE
DC/CCN022,ESTRUTURAS DE DADOS
DC/CCN023,PROGRAMAÇÃO ORIENTADA A OBJETOS
DC/CCN024,LABORATÓRIO DE PROGRAMAÇÃO
DC/CCN025,BANCO DE DADOS
DC/CCN026,PROGRAMAÇÃO ESTRUTURADA
DC/CCN027,INTERFACE HUMANO COMPUTADOR
DC/CCN028,TEORIA E APLICAÇÕES EM GRAFOS
DC/CCN029,CIRCUITOS DIGITAIS
DC/CCN030,TEORIA DA COMPUTAÇÃO
DC/CCN030 ,TEORIA DA COMPUTAÇÃO
DC/CCN031,ARQUITETURA DE COMPUTADORES
DC/CCN032,COMPUTAÇÃO GRÁFICA
DC/CCN032 ,COMPUTAÇÃO GRÁFICA
DC/CCN033,SISTEMAS OPERACIONAIS
DC/CCN034,PROGRAMAÇÃO LINEAR
DC/CCN034 ,PROGRAMAÇÃO LINEAR
DC/CCN035,REDES DE COMPUTADORES
DC/CCN036,PROJETO E ANÁLISE DE ALGORITMOS
DC/CCN037,PROCESSAMENTO DIGITAL DE IMAGENS
DC/CCN037 ,PROCESSAMENTO DIGITAL DE IMAGENS
DC/CCN038, SISTEMAS DISTRIBUÍDOS
DC/CCN038,SISTEMAS DISTRIBUÍDOS
DC/CCN039,ENGENHARIA DE SOFTWARE I
DC/CCN040,SEGURANÇA EM SISTEMAS
DC/CCN040 ,SEGURANÇA EM SISTEMAS
DC/CCN041,INTELIGÊNCIA ARTIFICIAL
DC/CCN041 ,INTELIGÊNCIA ARTIFICIAL
DC/CCN042,COMPILADORES
DC/CCN042 ,COMPILADORES
DC/CCN043,LINGUAGENS DE PROGRAMAÇÃO
DC/CCN044,ENGENHARIA DE SOFTWARE II
DC/CCN044 ,ENGENHARIA DE SOFTWARE II
DC/CCN045,BANCOS DE DADOS RELACIONAIS
DC/CCN045 ,BANCOS DE DADOS RELACIONAIS
DC/CCN046,TRABALHO DE CONCLUSÃO DE CURSO I - TCC I
DC/CCN046 ,TRABALHO DE CONCLUSÃO DE CURSO I - TCC I
DC/CCN047,ESTÁGIO SUPERVISIONADO
DC/CCN047 ,ESTÁGIO SUPERVISIONADO
DC/CCN048,PROGRAMAÇÃO FUNCIONAL
DC/CCN048 ,PROGRAMAÇÃO FUNCIONAL
DC/CCN049,TRABLO DE CONCLUSÃO DE CURSO II - TCC II
DC/CCN049,TRABALHO DE CONCLUSÃO DE CURSO II - TCC II
DC/CCN050,EMPREENDEDORISMO
DC/CCN055,FLUXOS EM REDES
DC/CCN055 ,FLUXOS EM REDES
DC/CCN057,REDES NEURAIS ARTIFICIAIS
DC/CCN057 ,REDES NEURAIS ARTIFICIAIS
DC/CCN058,SISTEMAS EMBARCADOS
DC/CCN058 ,SISTEMAS EMBARCADOS
DC/CCN061,PROCESSAMENTO DE LINGUAGEM NATURAL
DC/CCN061 ,PROCESSAMENTO DE LINGUAGEM NATURAL
DC/CCN064,REDES DE COMUNICAÇÃO SEM FIO
DC/CCN067,TÓPICOS EM BIOINFORMÁTICA
DC/CCN068,TÓPICOS EM ARQUITETURA DE COMPUTADORES
DC/CCN070,TÓPICOS EM COMPUTAÇÃO APLICADA
DC/CCN071,TÓPICOS EM ENGENHARIA DE SOFTWARE
DC/CCN071 ,TÓPICOS EM ENGENHARIA DE SOFTWARE
DC/CCN073,TÓPICOS EM PROGRAMAÇÃO
DC/CCN074,TÓPICOS EM REDES DE COMPUTADORES
DC/CCN074 ,TÓPICOS EM REDES DE COMPUTADORES
DC/CCN076,TÓPICOS EM SISTEMAS COMPUTACIONAIS
DC/CCN081,VISÃO COMPUTACIONAL
DC/CCN081 ,VISÃO COMPUTACIONAL
DEFE/CCE007,"RELAÇÕES ÉTNICO-RACIAIS, GÊNERO E DIVERSIDADE"
DEFE/CCE007,"RELAÇÕES ÉTNICO-RACIAIS, GÊNERO E
DIVERSIDADE"
DFIL/CCHL009,INTRODUÇÃO À METODOLOGIA CIENTÍFICA
DFIS/CCN020,ELETRICIDADE E MAGNETISMO
DMAT/CCN032,CÁLCULO DIFERENCIAL E INTEGRAL I
DMAT/CCN033,CÁLCULO DIFERENCIAL E INTEGRAL II
DMAT/CCN034,ÁLGEBRA LINEAR
DMAT/CCN035,MATEMÁTICA DISCRETA
DMAT/CCN039,MÉTODOS NUMÉRICOS
